strategies,achievement_strategies,enjoyable,motivated,attention,clarity,instruction_feedback,improvement,feedback,trial_type,participant_id
"At the beginning, I picked similar colors and shapes. After a while, I begin picking different shapes and colors just for the fun and challenge of it.","With the knowledge of how things worked, that some options were by chance and others by sequence, I worked in order with that.",7,6,1,6,The instructions were straight forward and I understood them.,"20 was a lot and I was worried about taking too long, so maybe fewer tasks.",This was actually pretty fun to do. Thank you.,survey-html-form,xa06sby7gxjcep97zrb3niii
Tried to use same shapes for all three ,Just clicked from one to the other and changed them in order,5,7,0,5,"no, once you get the hang of it it is easy",Not to do so many,"no, it was fine",survey-html-form,r0qd1449p1ra6nxy7l0c6nrx
Used each shape/hue/patterned item to link it to the other two. Kept clicking until something worked.,"Eventually, I decided to use the same shapes and colors. ",2,7,0,7,,Let us know if the combos were all attainable.,,survey-html-form,m5uvmxz17x573m85x41byy1e
similar shapes and patterns,same as the the other strategy ,3,6,0,6,make the changes more consistent,making it a little more consistent when it comes to the changes,that's all thanks for the opportunity,survey-html-form,hnbc1nhhwyd6f1x09lp4r2yy
to put different shapes,to put different shapes,7,7,0,7,none,none,none,survey-html-form,skhu4b10zeld12f55rct0iwx
studied the game well,studied well while playing,7,7,1,3,no,nothing,no,survey-html-form,5z304yl2q2hzhr2mq4fhcpa5
Really didn't have one. Just randomly picked 3 of them to try to copy,Did shape first then texture then shade.,5,3,2,6,No,Maybe show odds of what next shade will be. THat is where i kept getting held up on. ,none,survey-html-form,m45j2qk7ziuljeeffbj84lpx
I tried to make selections that would allow for the quickest goal completion,"I tried to choose 1 or 2 shades and shapes because those were harder to change, and have 2 of the medium shade as they would help with light or darker",5,5,0,6,no,clarify recipient and other one with first and last choice. ,no,survey-html-form,3gqicanjopq8enwcvi41tl45
"at first i tried to pick things that were the same color, as that aspect was harder to change. ","once i got the hang of it, i was able to just pick random shapes/colors/textures and just be patient until i got the desired result",5,4,0,7,no it was a cool task!!!,maybe instead of different shades of blue you could have it be different colors,nope!,survey-html-form,0q05ghjgecokfzbbdwxc7134
"nothing in particular, I just kinda clicked and dragged random stuff to the boxes so that it wasn't too consistent",just tried to preserve traits already achieved as much as possible,3,4,3,7,make clear if there's a good period to take a break,a break would be nice,,survey-html-form,4hbxerc9g325ivvae6m3t3yz
I tried to avoid the dark color and I didn't worry about texture.  Sometimes I tried for a variety of shapes.  ,I tried to get the shapes right first.  ,6,5,0,4,,"Don't make people click so many times on the ""sometimes this happens..."" types.  It got frustrating.  ","No, it was fun.  ",survey-html-form,nbbsepdsohr99wrtzhh14pf2
Making sure that one shape occupies a shape that I want to be a duplicate of to the next ,Making sure that one shape occupies a shape that I want to be a duplicate of to the next ,7,7,0,5,,,,survey-html-form,mhdbhwe8wte67a3p3qw7vse0
I tried to select shapes and colors/ textures that were similar,Changing all of shape/ color/ textures first before moving onto the next category,6,5,1,5,"I didn't realize when I was supposed to start to follow the rules and start to change the shapes once the instruction bar turned blue, so maybe that could be stated.",I always appreciate an instruction video for new subjects.,"No comments, have a great day! :)",survey-html-form,wd3b0g90uwttr33tjw5hr10s
I picked a goal where all three are the same,I chose easy goals,1,3,2,5,no,none,no,survey-html-form,u8lhet3oh1vh386epu8sw284
I tried my best to select many different combinations of shapes and textures.,"I tried my hardest and tried to solve the puzzles quickly, but efficiently. I learned the use of a varied combination of the three tools available.",4,3,0,5,Make it slightly easier and give more concise examples.,Same as above.,Nothing else.,survey-html-form,qupxicqntl23rznkmd4d1ti3
mostly tried easier goals to save myself time,sticking with medium shades because it was less time consuming,3,7,0,7,no,it seems fine to me,no,survey-html-form,640wotijlh33wcs613k9wcm1
Ease of changing,Study patterns,3,5,2,3,N/A,N/A,,survey-html-form,dsa8sulv7yis7xga9nyddwn3
Familiarity of the shape and texture,Familiarity of the shape and texture,3,5,2,4,No suggestions,No suggestions,No comments.,survey-html-form,b4ag56mldh0dsv5m5o4tp2jp
"Usually just different themes or combinations of all shapes, shades, & textures.","I tried a few different strategies but I mostly went with shape first, then shade, then texture last since texture was the easiest to change consistently.",5,4,7,7,provide percentages as to how likely the same shapes combined are likely to change into one or the other shapes ,"dark mode please, my eyes started to hurt after staring at an all white screen for so long.",None,survey-html-form,wdywzt19rrzpc1gzk0e5vasq
find the quickest way to change shapes,find the quickest way to change shapes,7,7,0,7,no,no,good study,survey-html-form,ld0av55phjvohmllcrvpdbxv
