timestamp,action_type,position,source_position,shape_type,shade,texture,participant_id
1740524324232.0,drag_start,,2.0,square,high,stripes,pcimzwewtndyjm8hu2zke03i
1740524324351.0,failed_drop,,2.0,square,high,stripes,pcimzwewtndyjm8hu2zke03i
1740524325058.0,drag_start,,13.0,triangle,medium,stripes,pcimzwewtndyjm8hu2zke03i
1740524325191.0,failed_drop,,13.0,triangle,medium,stripes,pcimzwewtndyjm8hu2zke03i
1740524325975.0,drag_start,,23.0,circle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524326094.0,failed_drop,,23.0,circle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524327844.0,drag_start,,23.0,circle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524328947.0,drop,,23.0,circle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524330627.0,drag_start,,24.0,square,low,stripes,pcimzwewtndyjm8hu2zke03i
1740524331721.0,drop,,24.0,square,low,stripes,pcimzwewtndyjm8hu2zke03i
1740524333768.0,drag_start,,1.0,square,high,plain,pcimzwewtndyjm8hu2zke03i
1740524334710.0,drop,,1.0,square,high,plain,pcimzwewtndyjm8hu2zke03i
1740524602703.0,remove,,,triangle,medium,plain,pcimzwewtndyjm8hu2zke03i
1740524690632.0,remove,,,circle,medium,stripes,pcimzwewtndyjm8hu2zke03i
1740525223580.0,remove,,,circle,low,dots,pcimzwewtndyjm8hu2zke03i
,,top,,square,high,plain,pcimzwewtndyjm8hu2zke03i
,,bottom-left,,square,low,stripes,pcimzwewtndyjm8hu2zke03i
,,bottom-right,,circle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524418718.0,drag_start,,0.0,triangle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524419273.0,drop,,0.0,triangle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524420241.0,drag_start,,22.0,circle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524421232.0,drop,,22.0,circle,high,dots,pcimzwewtndyjm8hu2zke03i
1740524423273.0,drag_start,,13.0,square,high,dots,pcimzwewtndyjm8hu2zke03i
1740524423989.0,drop,,13.0,square,high,dots,pcimzwewtndyjm8hu2zke03i
1740524602703.0,remove,,,triangle,medium,plain,pcimzwewtndyjm8hu2zke03i
1740524690632.0,remove,,,circle,medium,stripes,pcimzwewtndyjm8hu2zke03i
1740525223580.0,remove,,,circle,low,dots,pcimzwewtndyjm8hu2zke03i
,,top,,triangle,high,dots,pcimzwewtndyjm8hu2zke03i
,,bottom-left,,circle,high,dots,pcimzwewtndyjm8hu2zke03i
,,bottom-right,,square,high,dots,pcimzwewtndyjm8hu2zke03i
1740524455539.0,drag_start,,11.0,square,medium,stripes,pcimzwewtndyjm8hu2zke03i
1740524455642.0,failed_drop,,11.0,square,medium,stripes,pcimzwewtndyjm8hu2zke03i
1740524456330.0,drag_start,,11.0,square,medium,stripes,pcimzwewtndyjm8hu2zke03i
