program,log_probability
two(same),-3.6888794541139367
three(unique),-3.6888794541139367
three(same),-3.6888794541139367
two(unique),-3.6888794541139367
"two(unique,(1,2))",-4.787491742782047
"three(3,same)",-4.787491742782047
"three(2,unique)",-4.787491742782047
"three(2,same)",-4.787491742782047
"three(1,unique)",-4.787491742782047
"three(1,same)",-4.787491742782047
"two(3,unique)",-4.787491742782047
"two(3,same)",-4.787491742782047
"two(2,unique)",-4.787491742782047
"two(2,same)",-4.787491742782047
"two(1,unique)",-4.787491742782047
"two(1,same)",-4.787491742782047
"three(3,unique)",-4.787491742782047
"two(unique,(0,2))",-4.787491742782047
"two(unique,(0,1))",-4.787491742782047
"two(same,(1,2))",-4.787491742782047
"two(same,(0,2))",-4.787491742782047
"two(same,(0,1))",-4.787491742782047
three(low),-5.19295685089021
three(medium),-5.19295685089021
two(triangle),-5.19295685089021
two(low),-5.19295685089021
two(medium),-5.19295685089021
two(high),-5.19295685089021
two(plain),-5.19295685089021
two(stripes),-5.19295685089021
two(dots),-5.19295685089021
three(square),-5.19295685089021
three(circle),-5.19295685089021
three(triangle),-5.19295685089021
three(dots),-5.19295685089021
three(stripes),-5.19295685089021
three(plain),-5.19295685089021
three(high),-5.19295685089021
one(low),-5.19295685089021
one(medium),-5.19295685089021
two(square),-5.19295685089021
one(plain),-5.19295685089021
one(stripes),-5.19295685089021
one(dots),-5.19295685089021
one(high),-5.19295685089021
two(circle),-5.19295685089021
one(square),-5.19295685089021
one(triangle),-5.19295685089021
one(circle),-5.19295685089021
"one(square,(1))",-6.29156913955832
"two(circle,(1,2))",-6.29156913955832
"two(triangle,(0,1))",-6.29156913955832
"two(square,(1,2))",-6.29156913955832
"two(triangle,(0,2))",-6.29156913955832
"two(triangle,(1,2))",-6.29156913955832
"two(low,(0,1))",-6.29156913955832
"two(low,(0,2))",-6.29156913955832
"two(low,(1,2))",-6.29156913955832
"two(medium,(0,1))",-6.29156913955832
"two(medium,(0,2))",-6.29156913955832
"two(medium,(1,2))",-6.29156913955832
"two(high,(0,1))",-6.29156913955832
"two(high,(0,2))",-6.29156913955832
"two(high,(1,2))",-6.29156913955832
"two(plain,(0,1))",-6.29156913955832
"two(plain,(0,2))",-6.29156913955832
"two(plain,(1,2))",-6.29156913955832
"two(stripes,(0,1))",-6.29156913955832
"two(stripes,(0,2))",-6.29156913955832
"two(stripes,(1,2))",-6.29156913955832
"two(dots,(0,1))",-6.29156913955832
"two(dots,(0,2))",-6.29156913955832
"two(dots,(1,2))",-6.29156913955832
"one(square,(0))",-6.29156913955832
"two(circle,(0,1))",-6.29156913955832
"one(square,(2))",-6.29156913955832
"one(low,(1))",-6.29156913955832
"one(medium,(0))",-6.29156913955832
"one(medium,(1))",-6.29156913955832
"one(medium,(2))",-6.29156913955832
"one(high,(0))",-6.29156913955832
"one(high,(1))",-6.29156913955832
"one(high,(2))",-6.29156913955832
"two(circle,(0,2))",-6.29156913955832
"one(plain,(1))",-6.29156913955832
"one(plain,(2))",-6.29156913955832
"one(stripes,(0))",-6.29156913955832
"one(stripes,(1))",-6.29156913955832
"one(stripes,(2))",-6.29156913955832
"one(dots,(0))",-6.29156913955832
"one(dots,(1))",-6.29156913955832
"one(dots,(2))",-6.29156913955832
"two(square,(0,1))",-6.29156913955832
"two(square,(0,2))",-6.29156913955832
"one(low,(2))",-6.29156913955832
"one(low,(0))",-6.29156913955832
"one(circle,(0))",-6.29156913955832
"one(triangle,(2))",-6.29156913955832
"one(circle,(1))",-6.29156913955832
"one(circle,(2))",-6.29156913955832
"one(triangle,(0))",-6.29156913955832
"one(triangle,(1))",-6.29156913955832
"one(plain,(0))",-6.29156913955832
"and(two(same),two(same))",-8.070906088787819
"and(two(unique),three(unique))",-8.070906088787819
"and(three(unique),three(unique))",-8.070906088787819
"and(two(unique),two(same))",-8.070906088787819
"and(three(unique),two(unique))",-8.070906088787819
"and(three(unique),two(same))",-8.070906088787819
"and(three(same),two(same))",-8.070906088787819
"and(two(same),two(unique))",-8.070906088787819
"and(two(same),three(same))",-8.070906088787819
"and(two(same),three(unique))",-8.070906088787819
"and(two(unique),three(same))",-8.070906088787819
"and(two(unique),two(unique))",-8.070906088787819
"and(three(unique),three(same))",-8.070906088787819
"and(three(same),three(unique))",-8.070906088787819
"and(three(same),two(unique))",-8.070906088787819
"and(three(same),three(same))",-8.070906088787819
"and(two(2,same),two(same))",-9.169518377455928
"and(two(1,unique),three(unique))",-9.169518377455928
"and(three(same),two(unique,(1,2)))",-9.169518377455928
"and(three(same),two(unique,(0,2)))",-9.169518377455928
"and(three(same),two(unique,(0,1)))",-9.169518377455928
"and(three(same),two(same,(1,2)))",-9.169518377455928
"and(three(same),two(same,(0,2)))",-9.169518377455928
"and(three(same),two(same,(0,1)))",-9.169518377455928
"and(three(same),three(3,unique))",-9.169518377455928
"and(two(unique),two(1,same))",-9.169518377455928
"and(two(unique),two(1,unique))",-9.169518377455928
"and(two(unique),two(2,same))",-9.169518377455928
"and(two(unique),two(2,unique))",-9.169518377455928
"and(two(unique),two(3,same))",-9.169518377455928
"and(two(unique),two(3,unique))",-9.169518377455928
"and(two(unique),three(1,same))",-9.169518377455928
"and(two(unique),three(1,unique))",-9.169518377455928
"and(two(unique),three(2,same))",-9.169518377455928
"and(two(unique),three(2,unique))",-9.169518377455928
"and(three(unique),two(same,(1,2)))",-9.169518377455928
"and(three(unique),two(unique,(0,1)))",-9.169518377455928
"and(two(unique),three(3,same))",-9.169518377455928
