shape1_sides,shape1_shade,shape1_texture,shape2_sides,shape2_shade,shape2_texture,shape3_sides,shape3_shade,shape3_texture,log_probability
circle,low,plain,circle,low,plain,circle,low,plain,-9.887510598012987
circle,low,plain,circle,low,plain,circle,low,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,circle,low,dots,-9.887510598012987
circle,low,plain,circle,low,plain,circle,medium,plain,-9.887510598012987
circle,low,plain,circle,low,plain,circle,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,circle,medium,dots,-9.887510598012987
circle,low,plain,circle,low,plain,circle,high,plain,-9.887510598012987
circle,low,plain,circle,low,plain,circle,high,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,circle,high,dots,-9.887510598012987
circle,low,plain,circle,low,plain,square,low,plain,-9.887510598012987
circle,low,plain,circle,low,plain,square,low,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,square,low,dots,-9.887510598012987
circle,low,plain,circle,low,plain,square,medium,plain,-9.887510598012987
circle,low,plain,circle,low,plain,square,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,square,medium,dots,-9.887510598012987
circle,low,plain,circle,low,plain,square,high,plain,-9.887510598012987
circle,low,plain,circle,low,plain,square,high,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,square,high,dots,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,low,plain,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,low,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,low,dots,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,medium,plain,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,medium,dots,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,high,plain,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,high,stripes,-9.887510598012987
circle,low,plain,circle,low,plain,triangle,high,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,low,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,low,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,low,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,medium,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,medium,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,high,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,high,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,circle,high,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,square,low,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,square,low,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,square,low,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,square,medium,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,square,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,square,medium,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,square,high,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,square,high,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,square,high,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,low,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,low,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,low,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,medium,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,medium,dots,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,high,plain,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,high,stripes,-9.887510598012987
circle,low,plain,circle,low,stripes,triangle,high,dots,-9.887510598012987
circle,low,plain,circle,low,dots,circle,low,plain,-9.887510598012987
circle,low,plain,circle,low,dots,circle,low,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,circle,low,dots,-9.887510598012987
circle,low,plain,circle,low,dots,circle,medium,plain,-9.887510598012987
circle,low,plain,circle,low,dots,circle,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,circle,medium,dots,-9.887510598012987
circle,low,plain,circle,low,dots,circle,high,plain,-9.887510598012987
circle,low,plain,circle,low,dots,circle,high,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,circle,high,dots,-9.887510598012987
circle,low,plain,circle,low,dots,square,low,plain,-9.887510598012987
circle,low,plain,circle,low,dots,square,low,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,square,low,dots,-9.887510598012987
circle,low,plain,circle,low,dots,square,medium,plain,-9.887510598012987
circle,low,plain,circle,low,dots,square,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,square,medium,dots,-9.887510598012987
circle,low,plain,circle,low,dots,square,high,plain,-9.887510598012987
circle,low,plain,circle,low,dots,square,high,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,square,high,dots,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,low,plain,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,low,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,low,dots,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,medium,plain,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,medium,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,medium,dots,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,high,plain,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,high,stripes,-9.887510598012987
circle,low,plain,circle,low,dots,triangle,high,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,low,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,low,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,low,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,medium,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,medium,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,medium,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,high,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,high,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,circle,high,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,square,low,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,square,low,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,square,low,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,square,medium,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,square,medium,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,square,medium,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,square,high,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,square,high,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,square,high,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,low,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,low,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,low,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,medium,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,medium,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,medium,dots,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,high,plain,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,high,stripes,-9.887510598012987
circle,low,plain,circle,medium,plain,triangle,high,dots,-9.887510598012987
