shape1_sides,shape1_shade,shape1_texture,shape2_sides,shape2_shade,shape2_texture,shape3_sides,shape3_shade,shape3_texture,value,metric,metric_value
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,19683.0,total_states,19683
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,1.0127466200044744,std_value,1.0127466200044744
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,-6.895398888117283,max_value,-6.895398888117283
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,-10.996612075396271,median_value,-10.996612075396271
SUMMARY,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,SUMMARY_ROW,-13.31283786564686,min_value,-13.31283786564686
circle,medium,plain,circle,medium,stripes,circle,medium,dots,-6.895398888117283,,
circle,medium,dots,circle,medium,dots,circle,medium,dots,-6.895398888117283,,
circle,medium,dots,circle,medium,dots,circle,medium,stripes,-6.895398888117283,,
circle,medium,dots,circle,medium,stripes,circle,medium,stripes,-6.895398888117283,,
circle,medium,plain,circle,medium,plain,circle,medium,dots,-6.895398888117283,,
circle,medium,plain,circle,medium,stripes,circle,medium,plain,-6.895398888117283,,
circle,medium,plain,circle,medium,stripes,circle,medium,stripes,-6.895398888117283,,
circle,medium,plain,circle,medium,plain,circle,medium,stripes,-6.895398888117283,,
circle,medium,dots,circle,medium,stripes,circle,medium,plain,-6.895398888117283,,
circle,medium,dots,circle,medium,dots,circle,medium,plain,-6.895398888117283,,
circle,medium,plain,circle,medium,plain,circle,medium,plain,-6.895398888117283,,
circle,medium,stripes,circle,medium,stripes,circle,medium,plain,-6.895398888117283,,
circle,medium,stripes,circle,medium,dots,circle,medium,plain,-6.895398888117283,,
circle,medium,stripes,circle,medium,dots,circle,medium,stripes,-6.895398888117283,,
circle,medium,dots,circle,medium,plain,circle,medium,dots,-6.895398888117283,,
circle,medium,dots,circle,medium,plain,circle,medium,stripes,-6.895398888117283,,
circle,medium,stripes,circle,medium,dots,circle,medium,dots,-6.895398888117283,,
circle,medium,dots,circle,medium,plain,circle,medium,plain,-6.895398888117283,,
circle,medium,stripes,circle,medium,plain,circle,medium,dots,-6.895398888117283,,
circle,medium,dots,circle,medium,stripes,circle,medium,dots,-6.895398888117283,,
circle,medium,stripes,circle,medium,plain,circle,medium,stripes,-6.895398888117283,,
circle,medium,stripes,circle,medium,stripes,circle,medium,dots,-6.895398888117283,,
circle,medium,stripes,circle,medium,stripes,circle,medium,stripes,-6.895398888117283,,
circle,medium,stripes,circle,medium,plain,circle,medium,plain,-6.895398888117283,,
circle,medium,plain,circle,medium,dots,circle,medium,stripes,-6.895398888117283,,
circle,medium,plain,circle,medium,dots,circle,medium,dots,-6.895398888117283,,
circle,medium,plain,circle,medium,dots,circle,medium,plain,-6.895398888117283,,
circle,medium,plain,circle,medium,dots,circle,high,stripes,-9.04111536360506,,
circle,medium,plain,circle,medium,stripes,circle,high,plain,-9.04111536360506,,
circle,medium,dots,circle,medium,dots,circle,high,plain,-9.04111536360506,,
circle,low,dots,circle,medium,plain,circle,medium,plain,-9.04111536360506,,
circle,high,dots,circle,medium,plain,circle,medium,stripes,-9.04111536360506,,
circle,medium,plain,circle,medium,plain,circle,high,stripes,-9.04111536360506,,
circle,medium,plain,circle,medium,plain,circle,high,plain,-9.04111536360506,,
circle,high,stripes,circle,medium,dots,circle,medium,plain,-9.04111536360506,,
circle,high,dots,circle,medium,plain,circle,medium,plain,-9.04111536360506,,
circle,low,dots,circle,medium,plain,circle,medium,stripes,-9.04111536360506,,
circle,medium,dots,circle,medium,dots,circle,high,stripes,-9.04111536360506,,
circle,medium,plain,circle,medium,dots,circle,high,plain,-9.04111536360506,,
circle,medium,plain,circle,medium,stripes,circle,high,stripes,-9.04111536360506,,
circle,low,dots,circle,medium,stripes,circle,medium,plain,-9.04111536360506,,
circle,medium,stripes,circle,low,plain,circle,medium,dots,-9.04111536360506,,
circle,low,dots,circle,medium,dots,circle,medium,plain,-9.04111536360506,,
circle,high,stripes,circle,medium,dots,circle,medium,dots,-9.04111536360506,,
circle,medium,plain,circle,medium,plain,circle,high,dots,-9.04111536360506,,
circle,high,stripes,circle,medium,dots,circle,medium,stripes,-9.04111536360506,,
circle,medium,stripes,circle,low,plain,circle,medium,stripes,-9.04111536360506,,
circle,low,dots,circle,medium,dots,circle,medium,stripes,-9.04111536360506,,
circle,medium,plain,circle,medium,stripes,circle,high,dots,-9.04111536360506,,
circle,medium,dots,circle,medium,stripes,circle,low,plain,-9.04111536360506,,
circle,medium,stripes,circle,medium,stripes,circle,low,stripes,-9.04111536360506,,
circle,medium,stripes,circle,medium,stripes,circle,high,stripes,-9.04111536360506,,
circle,medium,dots,circle,medium,dots,circle,low,plain,-9.04111536360506,,
circle,low,dots,circle,medium,plain,circle,medium,dots,-9.04111536360506,,
circle,medium,dots,circle,high,plain,circle,medium,plain,-9.04111536360506,,
circle,medium,dots,circle,high,stripes,circle,medium,stripes,-9.04111536360506,,
circle,medium,dots,circle,high,stripes,circle,medium,dots,-9.04111536360506,,
circle,medium,dots,circle,high,plain,circle,medium,stripes,-9.04111536360506,,
circle,medium,stripes,circle,low,plain,circle,medium,plain,-9.04111536360506,,
circle,medium,dots,circle,medium,dots,circle,low,stripes,-9.04111536360506,,
circle,medium,stripes,circle,medium,stripes,circle,high,plain,-9.04111536360506,,
circle,medium,stripes,circle,medium,stripes,circle,low,plain,-9.04111536360506,,
circle,medium,stripes,circle,medium,stripes,circle,high,dots,-9.04111536360506,,
circle,medium,dots,circle,medium,stripes,circle,low,stripes,-9.04111536360506,,
circle,medium,stripes,circle,medium,stripes,circle,low,dots,-9.04111536360506,,
circle,medium,plain,circle,medium,plain,circle,low,dots,-9.04111536360506,,
circle,medium,dots,circle,high,plain,circle,medium,dots,-9.04111536360506,,
circle,medium,dots,circle,medium,dots,circle,low,dots,-9.04111536360506,,
circle,medium,dots,circle,medium,stripes,circle,low,dots,-9.04111536360506,,
